p,alpha,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0.01,0.01,0.0712,2719.5258,0.9964,0.0553,0.0191,0.0672,0.0672,0.1067,0.00010000000000000286,0.0711,0.072,0.072,0.0638,76.43470764
0.01,0.05,0.0712,2719.8152,0.9964,0.0548,0.0191,0.0672,0.0672,0.1067,0.0,0.0712,0.072,0.072,0.0638,75.99111176
0.01,0.1,0.0712,2719.8173,0.9964,0.0548,0.0191,0.0672,0.0672,0.1067,0.0,0.0712,0.072,0.072,0.0638,75.8527832
0.05,0.01,0.0707,2713.0996,0.9963,0.0575,0.0215,0.0669,0.0669,0.1052,0.0,0.0707,0.0715,0.0715,0.0635,97.75933075
0.05,0.05,0.0707,2713.3712,0.9963,0.0572,0.0215,0.0669,0.0669,0.1052,0.0,0.0707,0.0715,0.0715,0.0635,97.43453217
0.05,0.1,0.0708,2713.4221,0.9963,0.0567,0.0215,0.0669,0.0669,0.1053,0.00010000000000000286,0.0707,0.0716,0.0716,0.0635,97.64722443
0.1,0.01,0.0704,2705.5306,0.9963,0.0599,0.022,0.0666,0.0666,0.1044,0.0,0.0704,0.0712,0.0712,0.0634,125.2962494
0.1,0.05,0.0704,2705.8022,0.9963,0.0597,0.022,0.0667,0.0667,0.1044,0.0,0.0704,0.0712,0.0712,0.0634,124.619072
0.1,0.1,0.0704,2705.9099,0.9963,0.0587,0.0218,0.0667,0.0667,0.1045,0.0,0.0704,0.0712,0.0712,0.0634,124.6429977
0.2,0.01,0.0696,2689.3011,0.9962,0.0611,0.0225,0.066,0.066,0.102,0.0,0.0696,0.0703,0.0703,0.063,178.2992859
0.2,0.05,0.0696,2689.5677,0.9962,0.0609,0.0225,0.066,0.066,0.102,0.0,0.0696,0.0703,0.0703,0.063,178.1598969
0.2,0.1,0.0697,2689.7868,0.9962,0.0606,0.0222,0.066,0.066,0.1022,0.00010000000000000286,0.0696,0.0704,0.0704,0.0631,178.0363159
0.4,0.01,0.0677,2656.0027,0.996,0.0604,0.024,0.0649,0.0649,0.0931,0.0,0.0677,0.0683,0.0683,0.0626,284.7782898
0.4,0.05,0.0678,2656.2514,0.996,0.0604,0.024,0.0649,0.0649,0.0931,0.00010000000000000286,0.0677,0.0683,0.0683,0.0626,285.4344788
0.4,0.1,0.0679,2656.7494,0.996,0.0601,0.0235,0.065,0.065,0.0941,0.00010000000000000286,0.0678,0.0685,0.0685,0.0627,284.6566467
0.6,0.01,0.0654,2616.8384,0.9959,0.0584,0.0247,0.0635,0.0635,0.0827,0.00020000000000000573,0.0652,0.066,0.066,0.0609,390.3332825
0.6,0.05,0.0654,2617.0289,0.9959,0.0584,0.0247,0.0635,0.0635,0.0827,0.00020000000000000573,0.0652,0.066,0.066,0.0609,388.1275024
0.6,0.1,0.0658,2617.8575,0.9959,0.0572,0.0242,0.0637,0.0637,0.085,0.00019999999999999185,0.0656,0.0664,0.0664,0.061,389.8927612
0.8,0.01,0.0626,2569.0598,0.9957,0.0575,0.0254,0.0619,0.0619,0.0687,0.00020000000000000573,0.0624,0.0629,0.0629,0.0593,491.1026917
0.8,0.05,0.0626,2569.1482,0.9957,0.0575,0.0254,0.0619,0.0619,0.0687,0.00020000000000000573,0.0624,0.0629,0.0629,0.0593,492.9771423
0.8,0.1,0.0631,2570.4203,0.9957,0.0565,0.0247,0.0621,0.0621,0.0719,0.00020000000000000573,0.0629,0.0635,0.0635,0.0597,492.3332825
1.0,0.01,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,171.7700958
1.0,0.05,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,172.7324524
1.0,0.1,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,172.2753296
