alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0,,0,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,0.7814126014709473
0.01,,0.01,0.0241,173.136,0.8301,0.7091,0.329,0.0246,0.0246,0.0196,0.0109,0.0109,0.0132,0.0218,0.0218,0.0449,34.00163650512695
0.01,,0.05,0.0241,173.2829,0.8307,0.7074,0.3282,0.0246,0.0246,0.0196,0.0109,0.0109,0.0132,0.0218,0.0218,0.0449,33.22486114501953
0.01,,0.1,0.0241,173.0387,0.8291,0.7119,0.3313,0.0245,0.0245,0.0196,0.0109,0.0109,0.0132,0.0217,0.0217,0.0449,33.170616149902344
0.05,,0.01,0.0239,168.0265,0.8159,0.7269,0.3551,0.0244,0.0244,0.0193,0.0109,0.0109,0.0129,0.0215,0.0215,0.0448,33.872684478759766
0.05,,0.05,0.0239,168.4814,0.8168,0.7266,0.3529,0.0244,0.0244,0.0191,0.0109,0.0109,0.013,0.0216,0.0216,0.0448,33.939453125
0.05,,0.1,0.0239,168.7433,0.8173,0.7266,0.3522,0.0244,0.0244,0.0193,0.011,0.011,0.013,0.0216,0.0216,0.0448,33.92527770996094
0.1,,0.01,0.0237,165.6375,0.8115,0.7265,0.3605,0.0242,0.0242,0.0192,0.0111,0.0111,0.0127,0.0215,0.0215,0.044,36.26151657104492
0.1,,0.05,0.0238,166.0713,0.812,0.7265,0.3591,0.0243,0.0243,0.0191,0.0111,0.0111,0.0127,0.0215,0.0215,0.044,36.26313018798828
0.1,,0.1,0.0238,166.4044,0.8124,0.7268,0.3582,0.0243,0.0243,0.0191,0.0111,0.0111,0.0127,0.0215,0.0215,0.044,36.236167907714844
0.2,,0.01,0.0234,160.7003,0.8086,0.721,0.3615,0.0239,0.0239,0.0181,0.0112,0.0112,0.0122,0.0211,0.0211,0.0437,40.828834533691406
0.2,,0.05,0.0234,161.1014,0.8087,0.7215,0.3612,0.024,0.024,0.018,0.0112,0.0112,0.0122,0.0211,0.0211,0.0437,40.951786041259766
0.2,,0.1,0.0235,161.5692,0.8085,0.7239,0.3618,0.0241,0.0241,0.018,0.0112,0.0112,0.0122,0.0212,0.0212,0.0437,40.884666442871094
0.4,,0.01,0.0231,150.7785,0.8147,0.7037,0.3468,0.0236,0.0236,0.0187,0.0119,0.0119,0.0112,0.0209,0.0209,0.0436,50.4912223815918
0.4,,0.05,0.0232,151.101,0.8145,0.7042,0.3468,0.0237,0.0237,0.0187,0.0119,0.0119,0.0112,0.0209,0.0209,0.0436,50.594947814941406
0.4,,0.1,0.0233,151.8233,0.8124,0.71,0.3508,0.0237,0.0237,0.0191,0.012,0.012,0.0112,0.021,0.021,0.0436,50.630043029785156
0.6,,0.01,0.022,141.159,0.8303,0.677,0.321,0.0225,0.0225,0.0184,0.0121,0.0121,0.01,0.02,0.02,0.0406,61.01664733886719
0.6,,0.05,0.0221,141.3819,0.8301,0.6775,0.3212,0.0225,0.0225,0.0184,0.0121,0.0121,0.01,0.02,0.02,0.0406,60.80060577392578
0.6,,0.1,0.0222,142.3319,0.8257,0.6884,0.3281,0.0226,0.0226,0.0186,0.0122,0.0122,0.01,0.0201,0.0201,0.0406,60.77967834472656
0.8,,0.01,0.0212,131.8301,0.8529,0.6359,0.2909,0.0217,0.0217,0.0173,0.0124,0.0124,0.0088,0.0193,0.0193,0.0391,71.3409652709961
0.8,,0.05,0.0212,131.9429,0.8528,0.6362,0.2911,0.0217,0.0217,0.0173,0.0124,0.0124,0.0088,0.0193,0.0193,0.0391,71.60559844970703
0.8,,0.1,0.0214,133.1177,0.8451,0.6583,0.2999,0.0218,0.0218,0.0175,0.0125,0.0125,0.0089,0.0194,0.0194,0.0391,71.36161804199219
1.0,,0.01,0.0241,172.1872,0.8254,0.7115,0.3386,0.0245,0.0245,0.0202,0.011,0.011,0.0131,0.0218,0.0218,0.0443,54.191810607910156
1.0,,0.05,0.0241,172.1872,0.8254,0.7115,0.3386,0.0245,0.0245,0.0202,0.011,0.011,0.0131,0.0218,0.0218,0.0443,54.330039978027344
1.0,,0.1,0.0241,172.2231,0.8256,0.7113,0.3381,0.0246,0.0246,0.0202,0.0111,0.0111,0.0131,0.0219,0.0219,0.0443,54.48047637939453
